cpf,nome,sexo,data nascimento
11111111111,Manuel,Masculino,12/12/94
22222222222,João,Masculino,01/11/93
33333333333,Priscila,Feminino,12/02/96
44444444444,Ricardo,Masculino,12/10/94
55555555555,Ana,Feminino,12/01/94
66666666666,Paula,Feminino,06/12/94
77777777777,Carla,Feminino,04/03/92
88888888888,Isadora,Feminino,01/01/93
99999999999,Paulo,Masculino,13/07/94
11111111110,Manuel,Masculino,13/07/94
22222222221,Manoel,Masculino,12/12/95
33333333332,Richard,Masculino,17/05/94
44444444443,Kléber,Masculino,31/01/99
55555555554,Érik,Masculino,12/12/98
66666666665,Maria,Feminino,24/03/89
77777777776,João Paulo,Masculino,02/10/90
88888888887,Isabella,Feminino,11/06/94
99999999998,Camila,Feminino,07/05/94
21111111119,Pedro,Masculino,15/05/94
