cpf,telefone
11111111111,553199999999
22222222222,553199999998
33333333333,5531999999969
44444444444,5531999999399
55555555555,5531993999999
66666666666,5531993999999
77777777777,5531919999999
88888888888,5531994999999
99999999999,553199944999
11111111110,553199949999
22222222221,5531399999999
33333333332,553199996666
44444444443,553199999999
55555555554,553199999999
66666666665,5531999699999
77777777776,553199944999
88888888887,553199999333
99999999998,553195555999
21111111119,553199999799
11111111111,553198888888
